Round Number,Date,Location,Home Team,Away Team,Result
4,18/01/2021 17:00,Madison Square Garden,New York Knicks,Orlando Magic,
4,18/01/2021 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
4,18/01/2021 19:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,
4,18/01/2021 20:00,AmericanAirlines Arena,Miami Heat,Detroit Pistons,
4,18/01/2021 20:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,
4,18/01/2021 22:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
4,19/01/2021 00:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
4,19/01/2021 00:30,Amalie Arena,Toronto Raptors,Dallas Mavericks,
4,19/01/2021 01:00,United Center,Chicago Bulls,Houston Rockets,
4,19/01/2021 03:00,Staples Center,Los Angeles Lakers,Golden State Warriors,
5,20/01/2021 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,
5,20/01/2021 02:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,
5,21/01/2021 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
5,21/01/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
5,21/01/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Dallas Mavericks,
5,21/01/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
5,21/01/2021 00:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
5,21/01/2021 00:30,Amalie Arena,Toronto Raptors,Miami Heat,
5,21/01/2021 01:00,Target Center,Minnesota Timberwolves,Orlando Magic,
5,21/01/2021 02:30,Toyota Center,Houston Rockets,Phoenix Suns,
5,21/01/2021 03:00,Chase Center,Golden State Warriors,San Antonio Spurs,
5,21/01/2021 03:00,Staples Center,Los Angeles Clippers,Sacramento Kings,
5,21/01/2021 03:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
5,22/01/2021 00:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,
5,22/01/2021 03:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,
5,22/01/2021 03:00,Chase Center,Golden State Warriors,New York Knicks,
5,23/01/2021 00:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,
5,23/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,
5,23/01/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,
5,23/01/2021 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
5,23/01/2021 00:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
5,23/01/2021 00:30,Amalie Arena,Toronto Raptors,Miami Heat,
5,23/01/2021 01:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
5,23/01/2021 01:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,
5,23/01/2021 01:30,AT&T Center,San Antonio Spurs,Dallas Mavericks,
5,23/01/2021 03:00,PHX Arena,Phoenix Suns,Denver Nuggets,
5,23/01/2021 03:00,Staples Center,Los Angeles Clippers,Oklahoma City Thunder,
5,23/01/2021 03:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
5,23/01/2021 03:00,Golden 1 Center,Sacramento Kings,New York Knicks,
5,23/01/2021 22:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,
5,24/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
5,24/01/2021 00:30,Barclays Center,Brooklyn Nets,Miami Heat,
5,24/01/2021 01:00,United Center,Chicago Bulls,Los Angeles Lakers,
5,24/01/2021 01:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
5,24/01/2021 01:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
5,24/01/2021 02:00,PHX Arena,Phoenix Suns,Denver Nuggets,
5,24/01/2021 20:30,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,
5,24/01/2021 21:00,TD Garden,Boston Celtics,Cleveland Cavaliers,
5,24/01/2021 21:00,Staples Center,Los Angeles Clippers,Oklahoma City Thunder,
5,24/01/2021 23:00,Amway Center,Orlando Magic,Charlotte Hornets,
5,25/01/2021 00:00,AT&T Center,San Antonio Spurs,Washington Wizards,
5,25/01/2021 00:30,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
5,25/01/2021 01:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
5,25/01/2021 02:00,Moda Center,Portland Trail Blazers,New York Knicks,
5,26/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
5,26/01/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,
5,26/01/2021 00:00,Amway Center,Orlando Magic,Charlotte Hornets,
5,26/01/2021 00:30,Barclays Center,Brooklyn Nets,Miami Heat,
5,26/01/2021 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,
5,26/01/2021 01:00,United Center,Chicago Bulls,Boston Celtics,
5,26/01/2021 01:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
5,26/01/2021 01:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
5,26/01/2021 01:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,
5,26/01/2021 03:00,Chase Center,Golden State Warriors,Minnesota Timberwolves,
5,26/01/2021 03:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
6,27/01/2021 00:30,State Farm Arena,Atlanta Hawks,Los Angeles Clippers,
6,27/01/2021 01:00,Toyota Center,Houston Rockets,Washington Wizards,
6,27/01/2021 02:00,Vivint Smart Home Arena,Utah Jazz,New York Knicks,
6,28/01/2021 00:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,
6,28/01/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
6,28/01/2021 00:00,Amway Center,Orlando Magic,Sacramento Kings,
6,28/01/2021 00:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
6,28/01/2021 00:30,AmericanAirlines Arena,Miami Heat,Denver Nuggets,
6,28/01/2021 00:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,
6,28/01/2021 00:30,Amalie Arena,Toronto Raptors,Milwaukee Bucks,
6,28/01/2021 01:00,FedExForum,Memphis Grizzlies,Chicago Bulls,
6,28/01/2021 01:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,
6,28/01/2021 01:30,AT&T Center,San Antonio Spurs,Boston Celtics,
